标题,价格,评论数,链接,当前链接,上级链接,下载时间
OPPO R11s 全面屏双摄拍照手机 全网通4G+64G 双卡双待手机 红色,3199.00,2.5万+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS81NjM4MzM2Lmh0bWw&log=zI-dXVf4-WtZCBG38DxzKiNUHmk0XNhMzncaqVMVb47oOKxAC38TN5XrfcP_g_lu6tSXE3jd0C6KBc_ogB9NpjH2JlwNNQ0_btv4CtHi5Qy9RRlP9VOC5OXHduzFL8YliGYjEcQ28L-rhgQz33dCdVLkCJuJx1WDjttSqL1AHenl8Ufmrq1U2fbV90rzkpKDKI0xlioJFmO6NB7_TeeRyi_2nnmVaZ1M3zjgc_X3yUEkhOMv324aiDaXYuXuNsqMgBZsZFxSZMGWqgqKrPQMd5kRzOmMMd6R3tf9Qv6FR185T7Rxgw5_ynMNc4L16EKL2uKR99e3GYT9gFxFjhKl3o1fvQHfzABags9JlKrGBr4Wj607UGHculUgEHBfpizKZtXKB_y2c0LxhnmAkbPeiE8-vGHWKU4yNO8KAplXJ2f7Eamq2CWQGFElkVkKE5q0&v=404,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"Apple iPhone 6 32GB 金色 移动联通电信4G手机
				科技iPhone，智享生活！更多活动请点击！",2499.00,26万+,http://item.jd.com/4586850.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"小米MIX2 全网通 6GB+64GB 黑色 移动联通电信4G手机 双卡双待
				赠小米自拍杆+米粉卡（内含100元话费）小米Mix2，全面屏2.0震撼来袭，四曲面陶瓷机身，骁龙835处理器！小米Note3自拍美，拍人更美，1999元起！更多惊喜猛戳：",3299.00,5.7万+,http://item.jd.com/5001209.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"OPPO R11 全网通4G+64G  双卡双待手机 黑色
				下单送运动蓝牙耳机（颜色随机）OPPO全面屏旗舰R11s新品发售，AI美颜，王者荣耀专业优化，面部识别！",2799.00,10万+,http://item.jd.com/5188002.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"OPPO R11s Plus 双卡双待全面屏拍照手机 香槟色 全网通(6G RAM+64G ROM)标配
				R11s下单送蓝牙耳机，后置2000W双摄，AI智慧美颜，游戏畅快加速；点此抽奖大疆无人机",,0,http://item.jd.com/20015341974.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀9 全网通 标配版 4GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待
				下单立减100！领券再减200！低至1999！2000万变焦双摄，3D曲面极光玻璃，美得有声有色！荣耀爆款立省700！选品质，购荣耀>>>>>",2299.00,42万+,http://item.jd.com/4538873.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机
				下单立减289元！成交价6399元！赠碎屏险，半年碎屏换新机！",6688.00,26万+,http://item.jd.com/5089273.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀 畅玩6X 4GB 32GB 全网通4G手机 高配版 铂光金
				下单立减200！低至1099！双镜头，大内存，长续航！荣耀爆款立省700！选品质，购荣耀>>>>>",1299.00,67万+,http://item.jd.com/3652063.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"三星 Galaxy S7 edge（G9350）4GB+32GB 铂光金 移动联通电信4G手机 双卡双待
				【白条12期免息！】曲面旗舰，好评破8.8万！三星疯狂特惠",2699.00,12万+,http://item.jd.com/2385655.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"vivo X20 全面屏双摄拍照手机 4GB+64GB 磨砂黑 移动联通电信全网通4G手机 双卡双待
				游戏免打扰，畅快体验，带你吃鸡、上王者！高清全面屏，尊享Hi-Fi音质，更有面部识别+指纹双解锁！更多精彩点击>>>",2998.00,5.8万+,http://item.jd.com/5025991.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
