Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,9732.85,5865040000.0,1.62576309794e+11,0.01%,7.68%,21.20%
Ethereum,ETH,490.809,1283550000.0,47108326296.9,-0.05%,7.24%,37.34%
Bitcoin Cash,BCH,1683.74,1661220000.0,28328399331.2,-1.11%,5.46%,41.43%
Ripple,XRP,0.254455,157501000.0,9827782490.43,1.07%,1.55%,7.65%
Bitcoin Gold,BTG,373.609,160678000.0,6229588629.62,-1.84%,6.23%,193.02%
Litecoin,LTC,92.599,403528000.0,5001490352.62,0.27%,8.32%,29.36%
Dash,DASH,637.538,141975000.0,4917403022.38,-0.05%,1.40%,43.34%
NEO,NEO,41.3735,78681400.0,2689277500.0,1.84%,9.16%,0.70%
Monero,XMR,165.911,69198800.0,2555859023.21,-0.33%,2.51%,25.36%
IOTA,MIOTA,0.845885,50890900.0,2351162973.44,3.47%,8.34%,-7.25%
Ethereum Classic,ETC,22.7807,202851000.0,2228794001.84,0.92%,5.30%,24.27%
NEM,XEM,0.219452,13505000.0,1975067999.78,-0.16%,3.52%,6.15%
Cardano,ADA,0.0542786,64345100.0,1407285090.9,8.84%,74.91%,80.30%
EOS,EOS,2.7562,156302000.0,1385187838.27,2.52%,40.31%,42.11%
Qtum,QTUM,14.7958,122343000.0,1090317593.72,-0.32%,3.44%,2.64%
Zcash,ZEC,346.148,84037400.0,937881515.725,-0.09%,0.80%,16.06%
OmiseGO,OMG,9.18653,40233400.0,937416963.049,2.95%,10.76%,15.95%
Lisk,LSK,7.95538,31523900.0,917484365.301,-0.63%,1.28%,-19.46%
Stellar Lumens,XLM,0.050556,28425100.0,895541577.019,0.33%,12.15%,34.96%
Hshare,HSR,20.7163,67222000.0,876310428.228,-1.05%,8.38%,9.64%
Tether,USDT,1.00518,715548000.0,678464172.757,-0.31%,-0.05%,0.56%
BitConnect,BCC,301.766,25404800.0,645203470.472,-0.74%,-1.68%,3.42%
Waves,WAVES,5.61383,27128000.0,561383000.0,-1.21%,2.14%,6.12%
Populous,PPT,11.4369,941234.0,471797812.277,1.65%,2.56%,24.13%
Stratis,STRAT,4.59717,14389200.0,453455977.408,0.55%,0.23%,31.72%
Decred,DCR,60.8874,17782800.0,380061943.569,-2.34%,20.54%,78.42%
BitShares,BTS,0.142767,18244200.0,371596802.94,0.81%,5.74%,35.60%
Ardor,ARDR,0.347738,3890780.0,347390086.392,0.90%,26.25%,43.68%
Ark,ARK,3.52973,9906560.0,345847477.573,1.86%,9.60%,12.15%
Komodo,KMD,3.06844,9712040.0,317970529.169,0.84%,11.53%,26.39%
Augur,REP,27.9086,2377430.0,306994600.0,0.06%,1.75%,39.05%
Bytecoin,BCN,0.00167165,3613040.0,306335771.133,-1.71%,1.76%,30.46%
MonaCoin,MONA,4.97175,10812700.0,276484610.189,-0.22%,12.34%,63.18%
Steem,STEEM,1.11026,2459400.0,273946503.773,-1.06%,8.78%,21.45%
Power Ledger,POWR,0.751076,38286100.0,263143157.11,-0.10%,-0.88%,31.83%
DigixDAO,DGD,129.009,9566860.0,258018000.0,-19.38%,47.47%,82.00%
Golem,GNT,0.309479,9359170.0,257805910.328,0.10%,20.22%,45.10%
Raiden Networ...,RDN,5.03391,19012400.0,251695500.0,-3.74%,15.53%,116.92%
TenX,PAY,2.30896,10251800.0,241658778.338,-1.45%,11.44%,24.67%
Vertcoin,VTC,5.49649,25681500.0,228505303.945,-0.40%,0.36%,31.94%
MaidSafeCoin,MAID,0.488094,2608450.0,220888116.983,0.52%,3.67%,25.43%
SALT,SALT,4.47701,7921820.0,220454004.434,0.73%,13.25%,21.76%
Dogecoin,DOGE,0.00195807,8097920.0,219505037.905,-0.10%,-5.39%,42.41%
Exchange Union,XUC,8.29956,2373610.0,205816953.213,-1.40%,6.13%,175.33%
Factom,FCT,23.2321,4449100.0,203167084.174,0.55%,3.15%,21.99%
Gas,GAS,23.3104,1837660.0,200400334.03,1.58%,6.31%,-3.84%
Veritaseum,VERI,98.5207,565451.0,199607414.981,1.02%,8.38%,-7.45%
PIVX,PIVX,3.61937,1856250.0,199088719.6,0.07%,8.20%,20.54%
Nxt,NXT,0.196036,49572500.0,195839952.533,3.14%,49.98%,151.29%
Siacoin,SC,0.00600843,3308990.0,187268132.837,-1.63%,13.66%,40.73%
BitcoinDark,BTCD,143.772,194866.0,185302293.929,0.58%,15.83%,30.71%
Basic Attenti...,BAT,0.182977,4134030.0,182977000.0,0.67%,7.80%,14.95%
Syscoin,SYS,0.342805,32974800.0,181394993.653,0.20%,12.34%,65.15%
Byteball Bytes,GBYTE,280.246,1522420.0,180820899.448,0.55%,8.53%,15.04%
Binance Coin,BNB,1.82163,13064500.0,180366872.82,-0.48%,-3.61%,14.27%
Kyber Network,KNC,1.27897,9654090.0,171551695.393,-1.71%,10.33%,15.12%
Iconomi,ICN,1.68306,1597790.0,167949720.136,-2.12%,-2.73%,48.12%
GameCredits,GAME,2.20875,2080970.0,142144883.73,-0.66%,3.04%,15.50%
TRON,TRX,0.00215106,7036920.0,141320753.885,0.00%,6.22%,4.77%
Metaverse ETP,ETP,3.79474,5424280.0,138424902.101,-0.67%,2.82%,19.07%
Aeternity,AE,0.565488,1557500.0,131770280.735,-2.04%,-4.06%,-1.46%
Status,SNT,0.0372283,5057720.0,129200211.605,2.13%,10.70%,20.16%
Walton,WTC,5.15654,10037400.0,128388450.784,-0.02%,-0.16%,5.37%
Ethos,ETHOS,1.68031,1306000.0,125227151.684,-1.51%,-2.61%,10.43%
ZCoin,XZC,35.334,6074390.0,124640029.337,0.69%,-1.13%,49.23%
Civic,CVC,0.356309,3032950.0,122107094.3,0.42%,7.03%,5.56%
Gnosis,GNO,110.164,1860550.0,121686052.76,-0.28%,0.74%,59.81%
Blocknet,BLOCK,24.2973,235993.0,119114023.172,1.00%,1.73%,9.69%
GXShares,GXS,2.93651,9405360.0,118958020.1,-1.44%,-1.03%,31.60%
Pura,PURA,0.653583,365549.0,112337036.983,-2.84%,0.48%,-4.70%
Bancor,BNT,2.75365,5599310.0,112274215.283,-0.67%,7.05%,30.44%
Einsteinium,EMC2,0.517385,156846000.0,111777862.595,-0.82%,64.94%,291.14%
0x,ZRX,0.220679,3492910.0,110339500.0,-1.37%,0.49%,10.86%
DigiByte,DGB,0.0109717,3929920.0,103856727.654,0.73%,5.32%,21.51%
Bytom,BTM,0.102826,980258.0,101489262.0,-0.73%,-2.53%,-11.10%
Metal,MTL,5.20783,6014620.0,100516295.583,-0.61%,3.94%,24.26%
Verge,XVG,0.00698505,5413090.0,99997811.4979,-0.22%,21.17%,15.52%
FunFair,FUN,0.0229187,1249860.0,97401578.5743,-2.64%,8.11%,30.33%
Quantstamp,QSP,0.155965,15445600.0,96279404.6517,-0.77%,-5.68%,
SingularDTV,SNGLS,0.15577,4106630.0,93462000.0,-3.41%,12.44%,19.75%
Cryptonex,CNX,2.0575,126326.0,92553378.8164,2.82%,2.33%,53.72%
Lykke,LKK,0.346873,324625.0,91238884.3466,-0.25%,-0.99%,-3.60%
Santiment Net...,SAN,1.3477,23218400.0,81539300.054,-0.83%,9.36%,227.84%
Storj,STORJ,0.747341,7429210.0,78636229.4518,0.31%,1.74%,16.91%
Nexus,NXS,1.43025,2062820.0,77260592.2228,0.01%,-0.73%,37.30%
NAV Coin,NAV,1.23465,18085800.0,76655121.0293,0.85%,32.37%,46.91%
Edgeless,EDG,0.923437,3780810.0,75764578.0519,-4.03%,13.54%,40.51%
Substratum,SUB,0.33293,5359020.0,75272626.0756,-1.09%,-0.47%,131.89%
BitBay,BAY,0.0745511,18694800.0,75137626.5064,-4.86%,19.46%,51.52%
Particl,PART,9.64358,369619.0,75082230.8533,1.42%,7.89%,13.33%
ZenCash,ZEN,30.3844,2248560.0,74613388.7417,-1.97%,-9.72%,41.68%
MobileGo,MGO,0.732805,633598.0,71836058.538,-0.44%,-4.35%,59.49%
Aragon,ANT,2.2057,723228.0,71715819.688,1.80%,9.80%,36.58%
AdEx,ADX,1.22478,5109570.0,70436608.6899,-2.04%,8.40%,21.13%
VeChain,VEN,0.253963,1669800.0,70389053.8789,0.12%,4.47%,-3.27%
Ripio Credit ...,RCN,0.144444,20480500.0,70075944.5543,0.80%,0.52%,45.35%
Streamr DATAcoin,DATA,0.0986417,4474890.0,66795672.4236,8.66%,14.63%,36.74%
Monaco,MCO,6.4894,3344670.0,63887333.22,0.28%,7.40%,17.76%
ChainLink,LINK,0.18052,1944870.0,63182000.0,-0.68%,2.10%,11.81%
Achain,ACT,0.20949,923460.0,62847000.0,-4.47%,7.10%,65.83%
Quantum Resis...,QRL,1.20258,2534780.0,62534160.0,-2.63%,10.59%,75.86%
ATMChain,ATM,0.0187079,50619.4,62021421.4453,-11.22%,-11.90%,-23.47%
Ubiq,UBQ,1.57385,733925.0,61419094.049,-2.60%,6.86%,24.82%
PotCoin,POT,0.27448,3311390.0,60044620.458,0.38%,-4.03%,118.34%
I/O Coin,IOC,3.56593,316264.0,58420300.2482,-1.17%,-0.19%,23.00%
Open Trading ...,OTN,22.6139,2439870.0,58286873.0376,0.53%,-15.14%,-34.75%
PayPie,PPP,0.698353,395864.0,57614122.5,-8.36%,-9.18%,33.76%
Skycoin,SKY,9.7095,277446.0,57608385.981,0.20%,37.82%,112.06%
Loopring,LRC,0.196181,1381180.0,56141264.9894,-1.70%,-4.40%,-9.17%
